Folder Temperature Condition Column Mean "Std Dev"
C1 290K/Energy "dist < 12" pni -92.4244 12.215510316221517
C1 290K/Energy "dist < 12" lig 0.4183875 1.3491688303094507
C1 290K/Energy "dist < 12" wat -217203.5204875 162.35447517792042
C1 290K/Energy "dist < 12" both-final -22.735712499999998 7.299897381556132
C1 290K/Energy "dist < 12" lig-wat-final 22090.7118625 1775.978004582729
C1 290K/Energy "dist < 12" pni-wat-final 31275.2197 1213.8947639065757
C1 290K/Energy "dist > 12" pni -83.39359723183385 9.809478410013456
C1 290K/Energy "dist > 12" lig 0.5260564013840829 1.8375864840103617
C1 290K/Energy "dist > 12" wat -216996.83681072676 188.77323508121262
C1 290K/Energy "dist > 12" both-final -18.519977162629747 6.804246592113061
C1 290K/Energy "dist > 12" lig-wat-final 21498.11856712803 1639.4116101785455
C1 290K/Energy "dist > 12" pni-wat-final 31101.63064740486 987.6487958282758
C1 295K/Energy "dist < 12" pni -97.96959857142859 9.320611380402612
C1 295K/Energy "dist < 12" lig -2.3853014285714287 3.446962894839996
C1 295K/Energy "dist < 12" wat -215945.45341714285 171.15610727492
C1 295K/Energy "dist < 12" both-final -25.782905714285715 6.574408761996926
C1 295K/Energy "dist < 12" lig-wat-final 21219.217452857134 1703.55368894806
C1 295K/Energy "dist < 12" pni-wat-final 31252.838894285713 1011.3422427195878
C1 295K/Energy "dist > 12" pni -84.02898237885462 8.53926795731155
C1 295K/Energy "dist > 12" lig 0.6799555066079295 1.8670810865174146
C1 295K/Energy "dist > 12" wat -215930.0898105725 180.1065927505628
C1 295K/Energy "dist > 12" both-final -18.765024669603523 5.635521228338373
C1 295K/Energy "dist > 12" lig-wat-final 21618.302420704844 1581.770846538912
C1 295K/Energy "dist > 12" pni-wat-final 30978.349996916273 989.7127182578646
C1 300K/Energy "dist < 12" pni -92.85309545454544 9.380497602522519
C1 300K/Energy "dist < 12" lig -0.2501136363636364 2.214864629270979
C1 300K/Energy "dist < 12" wat -214907.75331363638 205.49250822990982
C1 300K/Energy "dist < 12" both-final -27.20741363636363 9.332238756885697
C1 300K/Energy "dist < 12" lig-wat-final 21773.86150454546 1666.2508278083349
