Folder Temperature Condition Column Mean "Std Dev"
D5-D5 290K/Energy "dist < 12" pni -92.67001081081082 9.169107069871568
D5-D5 290K/Energy "dist < 12" lig -28.525256756756754 8.211411195388083
D5-D5 290K/Energy "dist < 12" wat -216669.57197567567 178.20095375511937
D5-D5 290K/Energy "dist < 12" both-final -53.81197297297298 15.20087501466516
D5-D5 290K/Energy "dist < 12" lig-wat-final 25070.45160810811 1727.0872313014404
D5-D5 290K/Energy "dist < 12" pni-wat-final 31240.798616216216 1075.323756760938
D5-D5 290K/Energy "dist > 12" pni -80.13197653846156 6.371418774522317
D5-D5 290K/Energy "dist > 12" lig -12.670421153846164 6.4525537294173665
D5-D5 290K/Energy "dist > 12" wat -216591.62825307678 188.10370820287835
D5-D5 290K/Energy "dist > 12" both-final -35.245888846153846 11.48503729409981
D5-D5 290K/Energy "dist > 12" lig-wat-final 24788.32309115386 2003.9281122960635
D5-D5 290K/Energy "dist > 12" pni-wat-final 31001.304558846175 1024.9982686885355
D5-D5 295K/Energy "dist < 12" pni -91.08232222222223 5.678595962866806
D5-D5 295K/Energy "dist < 12" lig -30.075285185185184 7.890176803941999
D5-D5 295K/Energy "dist < 12" wat -215558.33004814814 186.81644170066716
D5-D5 295K/Energy "dist < 12" both-final -47.30637037037037 12.059573530691926
D5-D5 295K/Energy "dist < 12" lig-wat-final 24356.178070370366 1938.8212321243404
D5-D5 295K/Energy "dist < 12" pni-wat-final 30770.279740740738 1099.3797031551217
D5-D5 295K/Energy "dist > 12" pni -81.17476037037041 7.0601029814424345
D5-D5 295K/Energy "dist > 12" lig -12.463419259259263 6.817182620659322
D5-D5 295K/Energy "dist > 12" wat -215501.7703651852 198.82592407078934
D5-D5 295K/Energy "dist > 12" both-final -32.09863518518519 11.34011656945517
D5-D5 295K/Energy "dist > 12" lig-wat-final 24680.760320370373 1928.3145249622446
D5-D5 295K/Energy "dist > 12" pni-wat-final 30816.6993448148 1002.9152410191698
D5-D5 300K/Energy "dist < 12" pni -89.76715354330709 9.531978184459673
D5-D5 300K/Energy "dist < 12" lig -29.072755905511816 8.327547248260348
D5-D5 300K/Energy "dist < 12" wat -214472.29934094488 194.85924026249506
D5-D5 300K/Energy "dist < 12" both-final -54.6299937007874 18.601052568232546
D5-D5 300K/Energy "dist < 12" lig-wat-final 25318.844885039383 1848.92543969765
D5-D5 300K/Energy "dist < 12" pni-wat-final 30981.254812598432 1003.2081661698305
D5-D5 300K/Energy "dist > 12" pni -81.15199882352942 7.064143685296009
D5-D5 300K/Energy "dist > 12" lig -12.50990647058824 7.179918016724212
D5-D5 300K/Energy "dist > 12" wat -214396.52717294128 212.0887687505464
D5-D5 300K/Energy "dist > 12" both-final -35.87476294117647 13.173078784461753
D5-D5 300K/Energy "dist > 12" lig-wat-final 24651.267249411765 1781.8215227394594
D5-D5 300K/Energy "dist > 12" pni-wat-final 30930.66810000001 1092.8213386478556
D5-D5 305K/Energy "dist < 12" pni -92.21476842105264 6.489974929848226
